FeatureID,CarID,FeatureName,FeatureValue
334,1978,ABS,No
335,329,Air Conditioning,Yes
336,1490,Cruise Control,No
337,1870,Air Conditioning,Yes
338,1308,Bluetooth,No
339,716,Air Conditioning,Yes
340,618,ABS,No
341,977,Air Conditioning,No
342,26,Backup Camera,Yes
343,1647,Bluetooth,Yes
344,1233,Bluetooth,Yes
345,178,Backup Camera,Yes
346,619,Cruise Control,Yes
347,239,ABS,No
348,1555,Cruise Control,No
349,1294,Bluetooth,No
350,1713,Bluetooth,Yes
351,560,Power Windows,Yes
352,1541,Backup Camera,No
353,682,Bluetooth,Yes
354,1547,Backup Camera,No
355,416,Power Windows,No
356,1952,ABS,Yes
357,98,Power Windows,No
358,1333,ABS,No
359,233,Air Conditioning,Yes
360,956,Air Conditioning,No
361,756,Air Conditioning,Yes
362,1887,Cruise Control,Yes
363,810,Cruise Control,No
364,1057,Cruise Control,Yes
365,1179,Air Conditioning,No
366,576,Bluetooth,No
367,1592,Air Conditioning,Yes
368,282,Backup Camera,Yes
369,988,Power Windows,Yes
370,299,ABS,No
371,1052,ABS,No
372,207,Air Conditioning,Yes
373,1736,Air Conditioning,No
374,365,Bluetooth,No
375,1062,ABS,No
376,347,Cruise Control,Yes
377,1121,Cruise Control,Yes
378,1202,Air Conditioning,Yes
379,37,Power Windows,Yes
380,713,Cruise Control,Yes
381,1988,Power Windows,No
382,457,Cruise Control,No
383,541,Backup Camera,No
384,1364,Cruise Control,No
385,1286,Bluetooth,No
386,878,ABS,No
387,1924,Power Windows,Yes
388,752,Cruise Control,No
389,1054,Power Windows,Yes
390,1771,Bluetooth,Yes
391,1910,Cruise Control,No
392,1107,Backup Camera,No
393,1338,Power Windows,No
394,1775,Power Windows,Yes
395,1389,ABS,No
396,351,Cruise Control,Yes
397,1855,Power Windows,No
398,416,Backup Camera,Yes
399,333,Cruise Control,Yes
400,522,Air Conditioning,Yes
401,1645,ABS,Yes
402,1172,Air Conditioning,No
403,1525,Power Windows,Yes
404,1161,Air Conditioning,Yes
405,479,Backup Camera,No
406,200,ABS,No
407,1848,Cruise Control,No
408,409,Air Conditioning,Yes
409,1293,Bluetooth,Yes
410,752,Backup Camera,No
411,967,ABS,No
412,1067,ABS,Yes
413,1654,Bluetooth,Yes
414,207,ABS,Yes
415,1723,Air Conditioning,Yes
416,439,Power Windows,Yes
417,1935,Backup Camera,Yes
418,1692,Bluetooth,Yes
419,1626,Cruise Control,No
420,1328,Air Conditioning,Yes
421,342,Bluetooth,No
422,524,Power Windows,Yes
423,1565,ABS,No
424,1597,Backup Camera,No
425,1731,Bluetooth,Yes
426,1258,Cruise Control,Yes
427,1574,Backup Camera,No
428,683,Cruise Control,No
429,1486,Cruise Control,Yes
430,1597,Power Windows,No
431,516,Air Conditioning,Yes
432,850,Backup Camera,Yes
433,1253,ABS,No
434,312,ABS,Yes
435,1504,Backup Camera,Yes
436,1546,ABS,Yes
437,740,Cruise Control,No
438,688,Bluetooth,No
439,757,Backup Camera,No
440,1351,ABS,Yes
441,172,Bluetooth,Yes
442,1983,Power Windows,Yes
443,1646,Cruise Control,Yes
444,1057,Cruise Control,Yes
445,876,Power Windows,Yes
446,66,Bluetooth,No
447,235,Air Conditioning,No
448,1233,Cruise Control,Yes
449,1373,Air Conditioning,Yes
450,1892,Power Windows,No
451,802,Backup Camera,No
452,1766,Cruise Control,Yes
453,1502,Power Windows,Yes
454,964,Air Conditioning,No
455,1130,Cruise Control,Yes
456,81,Power Windows,Yes
457,123,Air Conditioning,No
458,815,Cruise Control,Yes
459,1269,ABS,No
460,1849,Backup Camera,Yes
461,1046,Cruise Control,Yes
462,571,Power Windows,No
463,1902,Bluetooth,No
464,473,Power Windows,No
465,433,Bluetooth,Yes
466,802,Cruise Control,Yes
467,467,Bluetooth,No
468,1484,ABS,Yes
469,22,Cruise Control,No
470,1136,Bluetooth,Yes
471,720,Power Windows,Yes
472,1320,Air Conditioning,No
473,1534,Bluetooth,No
474,327,Bluetooth,No
475,1877,Cruise Control,Yes
476,1461,Backup Camera,Yes
477,1686,Air Conditioning,Yes
478,1445,Air Conditioning,No
479,1963,Cruise Control,No
480,1775,Air Conditioning,Yes
481,1080,Backup Camera,Yes
482,760,ABS,No
483,400,ABS,No
484,1635,Bluetooth,Yes
485,1976,Air Conditioning,Yes
486,1160,ABS,Yes
487,28,Bluetooth,No
488,421,Cruise Control,Yes
489,1620,Cruise Control,No
490,1250,Backup Camera,No
491,1403,ABS,No
492,24,Air Conditioning,No
493,172,ABS,Yes
494,1094,Power Windows,No
495,1991,ABS,No
496,1512,Backup Camera,No
497,133,Cruise Control,No
498,860,Power Windows,Yes
499,1344,Power Windows,Yes
500,1333,Air Conditioning,No
501,192,Air Conditioning,No
502,914,ABS,No
503,227,Bluetooth,Yes
504,697,Backup Camera,Yes
505,993,Bluetooth,Yes
506,1183,Cruise Control,Yes
507,852,Backup Camera,Yes
508,1470,Cruise Control,Yes
509,1201,ABS,No
510,934,Cruise Control,No
511,1699,Bluetooth,No
512,1469,Power Windows,Yes
513,671,ABS,Yes
514,1179,Air Conditioning,Yes
515,931,Bluetooth,Yes
516,802,Bluetooth,No
517,1166,Power Windows,Yes
518,362,Backup Camera,Yes
519,1891,Bluetooth,Yes
520,1330,ABS,No
521,1103,Bluetooth,No
522,1400,Bluetooth,Yes
523,405,Bluetooth,No
524,1921,Air Conditioning,Yes
525,1084,Power Windows,Yes
526,503,Cruise Control,Yes
527,1732,Power Windows,Yes
528,1871,Air Conditioning,No
529,340,Cruise Control,No
530,210,Power Windows,Yes
531,1869,Air Conditioning,Yes
532,1280,Power Windows,No
533,1874,Air Conditioning,Yes
534,1888,Air Conditioning,Yes
535,207,Power Windows,No
536,1028,Air Conditioning,No
537,1090,ABS,No
538,54,Cruise Control,Yes
539,988,Bluetooth,No
540,1404,Backup Camera,No
541,1403,Power Windows,Yes
542,1345,Cruise Control,Yes
543,1592,Air Conditioning,No
544,1738,Air Conditioning,Yes
545,1376,Backup Camera,No
546,1125,Air Conditioning,No
547,1766,Cruise Control,No
548,1366,ABS,No
549,1700,Air Conditioning,Yes
550,1876,Cruise Control,No
551,31,Air Conditioning,No
552,1773,ABS,Yes
553,1572,Cruise Control,No
554,1810,Cruise Control,Yes
555,857,Backup Camera,Yes
556,561,Power Windows,No
557,1508,Bluetooth,No
558,1818,Bluetooth,No
559,1668,Backup Camera,No
560,1568,Cruise Control,Yes
561,1647,Cruise Control,Yes
562,918,Air Conditioning,Yes
563,1781,Bluetooth,No
564,1476,Air Conditioning,Yes
565,1102,ABS,No
566,458,Bluetooth,Yes
567,1071,Bluetooth,Yes
568,622,ABS,Yes
569,1633,Power Windows,No
570,1006,Bluetooth,No
571,387,Power Windows,Yes
572,295,Air Conditioning,Yes
573,844,Bluetooth,Yes
574,701,Power Windows,Yes
575,722,Bluetooth,No
576,96,Bluetooth,Yes
577,1103,Bluetooth,No
578,1805,Cruise Control,Yes
579,787,ABS,No
580,1364,Power Windows,No
581,465,Air Conditioning,No
582,568,ABS,No
583,1920,Air Conditioning,No
584,919,Backup Camera,No
585,1437,ABS,No
586,338,Cruise Control,No
587,875,Backup Camera,Yes
588,604,Backup Camera,Yes
589,1834,Backup Camera,Yes
590,348,Backup Camera,Yes
591,1970,Backup Camera,Yes
592,503,Cruise Control,No
593,1157,Cruise Control,Yes
594,1713,Bluetooth,No
595,605,Air Conditioning,No
596,1080,Air Conditioning,Yes
597,1332,Air Conditioning,Yes
598,396,Backup Camera,Yes
599,929,ABS,Yes
600,1513,Air Conditioning,No
601,2000,Power Windows,No
602,945,Bluetooth,No
603,1841,Air Conditioning,Yes
604,1942,Air Conditioning,Yes
605,55,Cruise Control,Yes
606,174,ABS,No
607,12,Bluetooth,Yes
608,187,Air Conditioning,Yes
609,359,Cruise Control,No
610,993,Cruise Control,No
611,648,Bluetooth,Yes
612,28,Air Conditioning,Yes
613,1184,Air Conditioning,Yes
614,1899,Power Windows,Yes
615,428,Backup Camera,No
616,732,Power Windows,No
617,250,Air Conditioning,No
618,1911,Cruise Control,Yes
619,86,Cruise Control,No
620,941,Backup Camera,Yes
621,403,Bluetooth,No
622,105,Backup Camera,Yes
623,291,Backup Camera,No
624,245,Air Conditioning,No
625,1971,Air Conditioning,Yes
626,335,Bluetooth,Yes
627,1158,Backup Camera,Yes
628,177,Bluetooth,Yes
629,266,Power Windows,Yes
630,238,ABS,Yes
631,1918,Air Conditioning,Yes
632,1366,Cruise Control,Yes
633,605,ABS,Yes
634,1182,Air Conditioning,No
635,1657,Power Windows,Yes
636,1532,Bluetooth,No
637,1655,Backup Camera,No
638,1584,Power Windows,No
639,1282,Bluetooth,No
640,646,Cruise Control,No
641,254,Power Windows,Yes
642,1891,Air Conditioning,No
643,1926,Bluetooth,Yes
644,288,Cruise Control,No
645,557,Backup Camera,No
646,1178,Bluetooth,Yes
647,467,Backup Camera,No
648,543,Bluetooth,Yes
649,1309,Cruise Control,Yes
650,1635,Bluetooth,No
651,560,Power Windows,Yes
652,1519,Power Windows,No
653,1870,Air Conditioning,Yes
654,1185,Cruise Control,Yes
655,603,Power Windows,No
656,398,Power Windows,Yes
657,35,Cruise Control,Yes
658,305,Power Windows,No
659,1459,Cruise Control,No
660,1310,Backup Camera,No
661,614,Power Windows,Yes
662,226,Cruise Control,Yes
663,361,ABS,Yes
664,1027,Backup Camera,Yes
665,1098,Bluetooth,Yes
666,731,Power Windows,Yes
667,592,ABS,No
668,1155,Bluetooth,Yes
669,1300,Backup Camera,No
670,1947,Cruise Control,Yes
671,673,Bluetooth,Yes
672,1529,Backup Camera,Yes
673,817,ABS,Yes
674,1847,Air Conditioning,No
675,1760,Cruise Control,No
676,1400,ABS,Yes
677,955,Bluetooth,No
678,396,Air Conditioning,No
679,1108,ABS,No
680,233,Backup Camera,No
681,4,ABS,Yes
682,1637,Bluetooth,No
683,1506,Bluetooth,No
684,437,Backup Camera,No
685,1237,Backup Camera,Yes
686,372,ABS,No
687,1263,Backup Camera,No
688,1832,ABS,No
689,1401,Backup Camera,No
690,1255,Power Windows,No
691,1638,Bluetooth,Yes
692,1161,Power Windows,Yes
693,1790,Cruise Control,No
694,1815,Backup Camera,Yes
695,688,ABS,Yes
696,1357,Cruise Control,Yes
697,479,Bluetooth,No
698,1151,Bluetooth,Yes
699,244,Cruise Control,Yes
700,283,Bluetooth,Yes
701,699,Power Windows,Yes
702,441,Air Conditioning,No
703,942,ABS,Yes
704,1259,Air Conditioning,No
705,1209,ABS,No
706,1304,Bluetooth,Yes
707,1729,Cruise Control,Yes
708,1367,Air Conditioning,No
709,1878,Cruise Control,No
710,968,Bluetooth,Yes
711,1000,Bluetooth,No
712,398,Air Conditioning,No
713,967,Power Windows,No
714,1934,Power Windows,Yes
715,651,Bluetooth,No
716,199,Air Conditioning,Yes
717,1385,Power Windows,Yes
718,1581,Backup Camera,Yes
719,1929,Cruise Control,No
720,133,Backup Camera,No
721,1696,Bluetooth,Yes
722,1137,Air Conditioning,Yes
723,225,Backup Camera,Yes
724,1806,Cruise Control,Yes
725,1318,Cruise Control,No
726,1400,ABS,No
727,782,ABS,Yes
728,320,Bluetooth,No
729,905,Power Windows,Yes
730,236,ABS,Yes
731,208,ABS,Yes
732,509,Power Windows,Yes
733,1964,ABS,No
734,927,Power Windows,Yes
735,1340,Power Windows,Yes
736,793,ABS,Yes
737,1351,ABS,Yes
738,1581,ABS,No
739,424,Cruise Control,No
740,1702,ABS,Yes
741,1350,Backup Camera,Yes
742,1257,ABS,Yes
743,856,ABS,No
744,114,Air Conditioning,No
745,508,Cruise Control,Yes
746,365,Air Conditioning,Yes
747,1317,Backup Camera,Yes
748,319,Cruise Control,Yes
749,712,Backup Camera,Yes
750,1357,Bluetooth,Yes
751,1393,Bluetooth,No
752,323,Bluetooth,Yes
753,238,Cruise Control,No
754,1254,Power Windows,No
755,1803,Backup Camera,Yes
756,762,ABS,No
757,1804,Air Conditioning,Yes
758,200,Power Windows,Yes
759,1501,Bluetooth,No
760,1395,Air Conditioning,Yes
761,671,Cruise Control,Yes
762,265,Cruise Control,No
763,656,Cruise Control,Yes
764,1984,Cruise Control,No
765,1207,Air Conditioning,No
766,1903,Bluetooth,Yes
767,605,Backup Camera,No
768,1048,Bluetooth,No
769,1414,Backup Camera,Yes
770,496,Backup Camera,Yes
771,911,Bluetooth,Yes
772,1491,Backup Camera,No
773,579,Bluetooth,Yes
774,835,Power Windows,No
775,31,Cruise Control,No
776,1678,Backup Camera,No
777,1756,Cruise Control,Yes
778,1604,ABS,No
779,1016,Air Conditioning,Yes
780,21,Cruise Control,No
781,742,Power Windows,No
782,970,Cruise Control,No
783,1616,Backup Camera,Yes
784,1541,Power Windows,Yes
785,1817,Backup Camera,Yes
786,1107,ABS,No
787,286,Cruise Control,Yes
788,787,Bluetooth,No
789,1497,Backup Camera,No
790,802,Air Conditioning,No
791,885,Power Windows,No
792,1624,Cruise Control,Yes
793,1327,Backup Camera,No
794,1690,ABS,Yes
795,1655,Backup Camera,Yes
796,115,Cruise Control,No
797,244,Bluetooth,Yes
798,657,Backup Camera,No
799,1906,Bluetooth,Yes
800,137,Cruise Control,No
801,603,Bluetooth,Yes
802,19,Cruise Control,No
803,811,Cruise Control,Yes
804,161,Air Conditioning,No
805,1998,Air Conditioning,No
806,1135,Air Conditioning,Yes
807,1193,Cruise Control,Yes
808,1028,Bluetooth,Yes
809,95,Bluetooth,No
810,818,Cruise Control,Yes
811,1798,Backup Camera,No
812,1109,Cruise Control,No
813,1874,Bluetooth,Yes
814,1598,Backup Camera,No
815,372,Air Conditioning,No
816,293,Air Conditioning,Yes
817,507,Power Windows,No
818,793,Air Conditioning,Yes
819,1794,Air Conditioning,No
820,592,Bluetooth,Yes
821,1067,ABS,No
822,611,Bluetooth,No
823,846,Bluetooth,No
824,560,Backup Camera,Yes
825,842,Bluetooth,No
826,1832,Air Conditioning,No
827,1776,Cruise Control,No
828,1910,Backup Camera,Yes
829,1511,Air Conditioning,Yes
830,987,Air Conditioning,Yes
831,297,Bluetooth,No
832,1122,Power Windows,Yes
833,732,Air Conditioning,No
834,1026,Bluetooth,Yes
835,1991,Backup Camera,No
836,762,Backup Camera,No
837,1566,Bluetooth,No
838,568,Cruise Control,No
839,651,ABS,No
840,1100,Bluetooth,No
841,1044,Bluetooth,Yes
842,1974,Power Windows,Yes
843,888,ABS,No
844,729,Air Conditioning,Yes
845,499,Cruise Control,Yes
846,1569,Power Windows,Yes
847,1311,Power Windows,No
848,412,ABS,Yes
849,50,Air Conditioning,Yes
850,166,Bluetooth,Yes
851,814,Power Windows,Yes
852,1712,ABS,Yes
853,120,ABS,No
854,1463,Bluetooth,No
855,1933,ABS,No
856,1172,Cruise Control,No
857,1689,Bluetooth,Yes
858,1115,ABS,No
859,1989,Backup Camera,Yes
860,612,Air Conditioning,No
861,1666,Backup Camera,No
862,1557,Power Windows,No
863,1285,Backup Camera,Yes
864,988,Cruise Control,Yes
865,913,Cruise Control,Yes
866,1956,Backup Camera,Yes
867,917,Air Conditioning,No
868,1374,Backup Camera,Yes
869,196,Cruise Control,Yes
870,1429,Backup Camera,No
871,307,Air Conditioning,Yes
872,1719,Cruise Control,Yes
873,531,Backup Camera,No
874,1249,Power Windows,Yes
875,766,Power Windows,No
876,1848,Bluetooth,Yes
877,1986,Bluetooth,No
878,1719,Backup Camera,No
879,447,Cruise Control,No
880,454,Cruise Control,No
881,316,Cruise Control,Yes
882,1062,Backup Camera,No
883,777,Cruise Control,Yes
884,75,Air Conditioning,Yes
885,637,Air Conditioning,No
886,213,Power Windows,Yes
887,857,ABS,No
888,994,Air Conditioning,Yes
889,795,Air Conditioning,Yes
890,1916,Bluetooth,No
891,195,Cruise Control,No
892,935,Air Conditioning,No
893,634,Backup Camera,No
894,107,Bluetooth,Yes
895,556,Backup Camera,No
896,1179,Backup Camera,Yes
897,192,ABS,No
898,839,ABS,No
899,1881,Backup Camera,Yes
900,1119,Cruise Control,No
901,603,Power Windows,No
902,1676,Power Windows,Yes
903,718,Air Conditioning,Yes
904,242,Air Conditioning,Yes
905,1965,ABS,No
906,1693,Bluetooth,No
907,1463,Bluetooth,No
908,1375,Air Conditioning,Yes
909,64,Cruise Control,Yes
910,982,Backup Camera,No
911,1651,Air Conditioning,Yes
912,1466,Cruise Control,No
913,481,Power Windows,Yes
914,1614,Cruise Control,No
915,671,ABS,No
916,1504,ABS,No
917,1834,ABS,No
918,897,Power Windows,Yes
919,1793,ABS,No
920,1140,Bluetooth,No
921,760,Cruise Control,No
922,301,Power Windows,No
923,1360,Bluetooth,No
924,1694,Cruise Control,No
925,1605,Backup Camera,No
926,898,Backup Camera,No
927,868,Air Conditioning,No
928,1327,ABS,No
929,1481,Air Conditioning,No
930,245,Bluetooth,No
931,1852,Power Windows,Yes
932,1113,Air Conditioning,Yes
933,1692,Backup Camera,No
934,1060,Cruise Control,No
935,349,Bluetooth,No
936,1443,Air Conditioning,No
937,661,Cruise Control,Yes
938,1518,Backup Camera,No
939,1177,Bluetooth,Yes
940,275,Air Conditioning,Yes
941,641,Air Conditioning,No
942,1533,Cruise Control,Yes
943,871,Bluetooth,No
944,65,Backup Camera,Yes
945,487,Backup Camera,No
946,843,Bluetooth,Yes
947,65,ABS,No
948,321,Backup Camera,No
949,1404,Power Windows,No
950,1868,Cruise Control,Yes
951,1997,Backup Camera,No
952,799,Cruise Control,Yes
953,1588,ABS,Yes
954,1364,Backup Camera,Yes
955,1626,Power Windows,No
956,479,Bluetooth,Yes
957,463,Bluetooth,No
958,1867,Bluetooth,Yes
959,1765,Air Conditioning,Yes
960,1046,Power Windows,No
961,1956,Backup Camera,Yes
962,38,Bluetooth,No
963,1820,Power Windows,Yes
964,994,Backup Camera,No
965,723,Backup Camera,Yes
966,1238,Air Conditioning,No
967,830,Power Windows,Yes
968,411,Backup Camera,No
969,1940,Air Conditioning,No
970,911,Power Windows,No
971,52,Cruise Control,No
972,1991,Cruise Control,Yes
973,1005,Power Windows,No
974,602,Power Windows,Yes
975,1864,Bluetooth,No
976,1394,Power Windows,No
977,1523,Cruise Control,No
978,995,Backup Camera,Yes
979,1180,ABS,Yes
980,1986,Backup Camera,No
981,1808,ABS,Yes
982,1411,ABS,No
983,329,Bluetooth,Yes
984,1997,Cruise Control,Yes
985,718,Air Conditioning,No
986,1512,Air Conditioning,No
987,505,Bluetooth,No
988,1787,Air Conditioning,Yes
989,1796,Air Conditioning,No
