ServiceID,CarID,ServiceDate,ServiceType,Cost
59,772,2023-12-26,Oil Change,548.0
60,1630,2023-03-21,Engine Tune-up,1330.0
61,898,2022-03-30,Oil Change,405.0
62,1564,2023-06-20,Brake Inspection,665.0
63,1431,2022-01-10,Oil Change,1299.0
64,20,2023-08-09,Brake Inspection,507.0
65,1652,2022-11-20,Brake Inspection,1090.0
66,1933,2022-08-29,Oil Change,1408.0
67,1477,2022-09-12,Brake Inspection,604.0
68,320,2022-02-04,Engine Tune-up,1020.0
69,875,2022-03-12,Oil Change,1494.0
70,1946,2022-02-15,Brake Inspection,831.0
71,1884,2021-09-26,Oil Change,1323.0
72,1257,2023-07-10,Tire Rotation,82.0
73,1711,2022-08-03,Tire Rotation,1303.0
74,1814,2023-11-07,Oil Change,1129.0
75,1805,2022-05-14,Tire Rotation,313.0
76,1493,2021-05-15,Tire Rotation,1081.0
77,974,2021-03-22,Oil Change,818.0
78,1272,2022-11-26,Oil Change,703.0
79,444,2023-11-14,Tire Rotation,1078.0
80,884,2023-02-11,Brake Inspection,715.0
81,652,2022-09-04,Oil Change,1360.0
82,1368,2023-11-06,Oil Change,383.0
83,178,2023-01-19,Engine Tune-up,1158.0
84,584,2023-01-10,Brake Inspection,1006.0
85,304,2023-06-08,Oil Change,656.0
86,1223,2022-06-14,Engine Tune-up,1155.0
87,1649,2023-06-21,Tire Rotation,293.0
88,182,2021-07-26,Tire Rotation,802.0
89,83,2022-09-12,Oil Change,671.0
90,474,2022-06-20,Tire Rotation,1327.0
91,990,2022-08-29,Engine Tune-up,630.0
92,1610,2022-11-01,Engine Tune-up,80.0
93,1846,2022-12-17,Tire Rotation,436.0
94,434,2023-04-25,Engine Tune-up,172.0
95,350,2024-01-02,Engine Tune-up,657.0
96,627,2021-05-08,Engine Tune-up,1163.0
97,831,2023-08-17,Tire Rotation,308.0
98,447,2022-05-17,Brake Inspection,923.0
99,1798,2024-01-17,Engine Tune-up,860.0
100,505,2022-08-18,Oil Change,915.0
101,1530,2021-04-03,Brake Inspection,837.0
102,1684,2021-02-24,Oil Change,214.0
103,1495,2023-07-20,Tire Rotation,478.0
104,153,2022-07-10,Brake Inspection,319.0
105,1101,2024-01-21,Oil Change,1324.0
106,149,2022-09-26,Brake Inspection,67.0
107,1516,2023-10-06,Engine Tune-up,454.0
108,624,2022-05-14,Engine Tune-up,135.0
109,1408,2022-09-20,Brake Inspection,1144.0
110,1645,2023-11-14,Engine Tune-up,1452.0
111,1164,2023-07-07,Brake Inspection,462.0
112,1785,2023-05-14,Engine Tune-up,1262.0
113,550,2021-09-12,Brake Inspection,1394.0
114,1777,2023-02-03,Oil Change,75.0
115,864,2022-05-10,Brake Inspection,210.0
116,269,2023-03-06,Oil Change,1146.0
117,572,2021-07-10,Tire Rotation,744.0
118,1214,2021-06-27,Engine Tune-up,285.0
119,1005,2022-06-20,Brake Inspection,228.0
120,1024,2022-01-12,Oil Change,1125.0
121,1153,2023-02-17,Tire Rotation,943.0
122,1207,2022-06-24,Oil Change,557.0
123,1245,2022-10-17,Tire Rotation,1291.0
124,481,2022-05-02,Oil Change,883.0
125,1096,2024-02-10,Brake Inspection,1344.0
126,725,2021-07-06,Tire Rotation,838.0
127,715,2021-06-10,Brake Inspection,841.0
128,1871,2022-07-06,Tire Rotation,443.0
129,1869,2022-06-08,Oil Change,649.0
130,1403,2023-10-13,Brake Inspection,1095.0
131,789,2022-12-15,Oil Change,550.0
132,299,2023-10-31,Oil Change,571.0
133,159,2021-08-10,Brake Inspection,505.0
134,361,2021-04-24,Oil Change,962.0
135,574,2022-04-22,Tire Rotation,93.0
136,876,2024-02-02,Oil Change,286.0
137,1411,2022-02-05,Brake Inspection,620.0
138,1502,2023-08-24,Engine Tune-up,171.0
139,1735,2021-08-01,Oil Change,728.0
140,1845,2023-11-21,Brake Inspection,612.0
141,1544,2022-07-07,Engine Tune-up,813.0
142,1401,2023-08-08,Brake Inspection,719.0
143,65,2022-06-26,Oil Change,1066.0
144,1513,2024-02-03,Oil Change,1385.0
145,453,2022-06-20,Engine Tune-up,609.0
146,492,2022-08-23,Engine Tune-up,427.0
147,713,2023-10-05,Engine Tune-up,973.0
148,1535,2023-08-06,Engine Tune-up,1365.0
149,10,2022-08-14,Engine Tune-up,1335.0
150,1420,2023-03-03,Engine Tune-up,292.0
151,1182,2021-12-15,Engine Tune-up,398.0
152,1878,2021-11-26,Brake Inspection,946.0
153,1574,2021-09-06,Engine Tune-up,1306.0
154,581,2023-03-04,Tire Rotation,215.0
155,419,2021-05-03,Tire Rotation,554.0
156,1920,2024-01-12,Brake Inspection,831.0
157,245,2023-10-14,Engine Tune-up,954.0
158,870,2023-11-07,Engine Tune-up,1054.0
159,1362,2022-09-11,Tire Rotation,609.0
160,1993,2021-10-25,Brake Inspection,320.0
161,244,2022-11-13,Engine Tune-up,526.0
162,118,2022-09-25,Oil Change,823.0
163,793,2022-10-04,Engine Tune-up,894.0
164,928,2023-11-17,Tire Rotation,1482.0
165,38,2023-09-01,Brake Inspection,1290.0
166,230,2022-12-30,Brake Inspection,976.0
167,236,2022-06-19,Engine Tune-up,464.0
168,478,2022-08-09,Brake Inspection,935.0
169,894,2021-05-12,Oil Change,485.0
170,640,2021-08-28,Oil Change,1135.0
171,1548,2022-09-26,Engine Tune-up,1093.0
172,1441,2022-02-04,Tire Rotation,753.0
173,1015,2021-05-25,Engine Tune-up,617.0
174,319,2021-07-01,Brake Inspection,1451.0
175,655,2023-03-25,Engine Tune-up,1373.0
176,1308,2022-02-01,Brake Inspection,506.0
177,895,2021-10-26,Brake Inspection,774.0
178,1286,2023-03-16,Brake Inspection,858.0
179,1205,2023-09-08,Tire Rotation,538.0
180,1116,2022-02-24,Engine Tune-up,59.0
181,1793,2023-01-16,Engine Tune-up,192.0
182,534,2021-04-01,Tire Rotation,1325.0
183,1976,2021-04-09,Brake Inspection,266.0
184,809,2022-05-04,Brake Inspection,438.0
185,356,2022-04-25,Brake Inspection,1109.0
186,546,2023-02-17,Brake Inspection,679.0
187,1609,2024-02-04,Brake Inspection,716.0
188,417,2022-11-11,Engine Tune-up,318.0
189,64,2023-07-01,Engine Tune-up,206.0
190,105,2023-01-23,Brake Inspection,917.0
191,22,2021-03-12,Oil Change,949.0
192,1015,2022-03-05,Oil Change,1365.0
193,581,2022-10-24,Engine Tune-up,157.0
194,1311,2023-12-01,Brake Inspection,1020.0
195,975,2023-10-03,Tire Rotation,63.0
196,1998,2023-09-13,Engine Tune-up,939.0
197,606,2022-03-17,Engine Tune-up,764.0
198,820,2023-03-03,Tire Rotation,1098.0
199,1114,2023-08-11,Tire Rotation,1298.0
200,1098,2022-03-04,Brake Inspection,333.0
201,365,2023-05-22,Tire Rotation,966.0
202,237,2022-03-07,Oil Change,1331.0
203,1836,2022-11-29,Tire Rotation,1191.0
204,572,2021-10-01,Tire Rotation,465.0
205,611,2021-06-02,Engine Tune-up,1436.0
206,820,2022-03-27,Engine Tune-up,850.0
207,628,2022-12-28,Oil Change,1451.0
208,1335,2022-12-18,Oil Change,490.0
209,715,2022-02-09,Brake Inspection,611.0
210,810,2022-09-15,Brake Inspection,1451.0
211,345,2023-10-17,Oil Change,774.0
212,1906,2023-12-13,Oil Change,408.0
213,820,2023-11-20,Brake Inspection,981.0
214,770,2023-08-16,Oil Change,1434.0
215,1681,2021-06-26,Tire Rotation,248.0
216,251,2021-10-27,Engine Tune-up,748.0
217,669,2022-09-23,Tire Rotation,1337.0
218,169,2021-12-14,Brake Inspection,1112.0
219,958,2024-02-11,Engine Tune-up,86.0
220,891,2023-06-10,Oil Change,720.0
221,1159,2023-10-26,Tire Rotation,1466.0
222,1956,2022-09-26,Tire Rotation,1191.0
223,1810,2021-04-20,Tire Rotation,861.0
224,118,2021-10-16,Tire Rotation,1088.0
225,1926,2021-08-22,Engine Tune-up,1288.0
226,252,2022-07-17,Brake Inspection,938.0
227,14,2022-12-03,Oil Change,769.0
228,1851,2022-01-06,Engine Tune-up,245.0
229,297,2023-04-12,Brake Inspection,989.0
230,1339,2023-11-21,Oil Change,934.0
231,1445,2022-06-21,Oil Change,957.0
232,37,2023-09-21,Brake Inspection,180.0
233,853,2022-09-23,Tire Rotation,1074.0
234,1975,2021-11-19,Oil Change,1085.0
235,113,2021-07-07,Oil Change,179.0
236,162,2023-10-30,Engine Tune-up,85.0
237,1822,2021-07-17,Engine Tune-up,683.0
238,1893,2022-09-10,Oil Change,1256.0
239,173,2023-11-14,Engine Tune-up,67.0
240,1478,2021-08-05,Oil Change,221.0
241,1998,2021-09-15,Oil Change,676.0
242,1892,2023-02-11,Brake Inspection,916.0
243,331,2021-09-22,Brake Inspection,733.0
244,884,2022-01-01,Tire Rotation,800.0
245,486,2021-10-08,Oil Change,1027.0
246,865,2021-09-15,Engine Tune-up,1410.0
247,1753,2023-10-03,Oil Change,1352.0
248,157,2023-03-13,Engine Tune-up,1220.0
249,375,2022-07-29,Tire Rotation,914.0
250,640,2021-09-21,Engine Tune-up,221.0
251,520,2021-05-25,Engine Tune-up,313.0
252,920,2023-12-25,Tire Rotation,1329.0
253,1989,2023-08-28,Oil Change,271.0
254,1381,2023-10-07,Brake Inspection,865.0
255,28,2022-06-07,Tire Rotation,655.0
256,1476,2022-01-16,Brake Inspection,1156.0
257,1924,2023-06-14,Brake Inspection,569.0
258,1634,2021-08-13,Brake Inspection,883.0
259,496,2022-11-08,Oil Change,1452.0
260,724,2022-05-11,Engine Tune-up,751.0
261,1244,2021-08-16,Tire Rotation,261.0
262,1601,2023-04-06,Oil Change,458.0
263,1778,2023-12-02,Engine Tune-up,429.0
264,1885,2023-07-10,Engine Tune-up,1411.0
265,808,2023-06-16,Brake Inspection,234.0
266,1638,2022-01-05,Engine Tune-up,945.0
267,711,2022-03-16,Oil Change,1417.0
268,1913,2021-09-11,Oil Change,130.0
269,521,2023-09-23,Engine Tune-up,558.0
270,1075,2021-08-01,Oil Change,332.0
271,956,2022-08-16,Oil Change,826.0
272,596,2022-09-25,Brake Inspection,1457.0
273,192,2021-11-04,Oil Change,626.0
274,260,2023-05-14,Brake Inspection,1138.0
275,864,2021-03-07,Tire Rotation,905.0
276,482,2021-07-16,Engine Tune-up,1233.0
277,712,2021-12-08,Brake Inspection,605.0
278,135,2021-07-10,Brake Inspection,1075.0
279,1745,2022-06-26,Tire Rotation,1413.0
280,1961,2023-10-07,Tire Rotation,205.0
281,1202,2021-11-26,Oil Change,1449.0
282,872,2021-04-19,Tire Rotation,1080.0
283,1062,2021-05-08,Brake Inspection,250.0
284,528,2023-07-12,Tire Rotation,633.0
285,953,2022-04-18,Engine Tune-up,1276.0
286,489,2023-02-04,Engine Tune-up,521.0
287,1441,2022-07-01,Oil Change,1056.0
288,257,2021-03-24,Engine Tune-up,1304.0
289,191,2022-08-12,Brake Inspection,1418.0
290,115,2022-09-15,Engine Tune-up,759.0
291,1026,2022-01-18,Engine Tune-up,891.0
292,1532,2021-12-14,Engine Tune-up,238.0
293,611,2022-05-30,Brake Inspection,288.0
294,1019,2022-07-27,Tire Rotation,1489.0
295,1874,2022-05-13,Brake Inspection,319.0
296,1591,2021-06-18,Brake Inspection,426.0
297,810,2021-06-03,Oil Change,214.0
298,542,2022-11-15,Oil Change,737.0
299,1662,2022-10-18,Brake Inspection,959.0
300,586,2023-11-28,Brake Inspection,726.0
301,1481,2022-08-27,Engine Tune-up,146.0
302,1159,2022-02-19,Engine Tune-up,1333.0
303,422,2021-07-11,Oil Change,418.0
304,1061,2022-10-23,Engine Tune-up,710.0
305,1767,2021-12-18,Oil Change,444.0
306,142,2022-01-06,Brake Inspection,334.0
307,610,2021-08-23,Oil Change,655.0
308,117,2023-03-06,Engine Tune-up,980.0
309,824,2021-08-15,Tire Rotation,1026.0
310,435,2022-12-23,Oil Change,207.0
311,560,2023-06-15,Brake Inspection,1287.0
312,1585,2023-08-31,Tire Rotation,74.0
313,1690,2021-03-13,Engine Tune-up,147.0
314,75,2021-08-25,Oil Change,1035.0
315,639,2021-12-22,Tire Rotation,923.0
316,1035,2023-04-24,Oil Change,427.0
317,952,2022-12-11,Brake Inspection,560.0
318,29,2021-06-18,Brake Inspection,689.0
319,488,2021-11-21,Oil Change,1269.0
320,1910,2021-06-11,Tire Rotation,1037.0
321,1733,2023-04-28,Tire Rotation,1121.0
322,376,2022-07-10,Engine Tune-up,160.0
323,300,2023-01-29,Engine Tune-up,902.0
324,431,2021-09-06,Brake Inspection,922.0
325,1167,2023-07-03,Tire Rotation,1043.0
326,1250,2021-03-31,Brake Inspection,463.0
327,929,2022-09-27,Brake Inspection,1381.0
328,1494,2022-07-30,Tire Rotation,690.0
329,1253,2021-11-11,Oil Change,867.0
330,1802,2023-10-29,Tire Rotation,577.0
331,1855,2022-04-29,Brake Inspection,444.0
332,736,2023-11-16,Brake Inspection,1471.0
333,1279,2022-08-14,Engine Tune-up,94.0
334,1371,2023-10-30,Engine Tune-up,1137.0
335,1776,2023-11-01,Brake Inspection,1113.0
336,1533,2022-12-04,Oil Change,511.0
337,1124,2023-06-09,Engine Tune-up,84.0
338,351,2023-12-02,Brake Inspection,202.0
339,547,2024-01-16,Tire Rotation,1142.0
340,429,2022-09-20,Engine Tune-up,1109.0
341,1452,2023-05-28,Brake Inspection,490.0
342,404,2021-03-16,Tire Rotation,905.0
343,485,2022-07-02,Tire Rotation,1287.0
344,128,2024-01-05,Engine Tune-up,1277.0
345,1277,2021-03-13,Brake Inspection,256.0
346,240,2022-06-28,Brake Inspection,312.0
347,941,2023-08-15,Engine Tune-up,562.0
348,528,2021-05-04,Engine Tune-up,602.0
349,696,2021-05-13,Oil Change,493.0
350,1088,2022-09-26,Oil Change,1161.0
351,708,2023-03-13,Engine Tune-up,1128.0
352,1649,2021-06-17,Oil Change,1399.0
353,830,2021-11-16,Engine Tune-up,411.0
354,932,2021-09-23,Brake Inspection,148.0
355,1753,2022-07-15,Oil Change,900.0
356,152,2024-01-10,Brake Inspection,883.0
357,508,2023-07-08,Oil Change,803.0
358,9,2022-08-23,Tire Rotation,1291.0
359,1705,2021-10-10,Engine Tune-up,244.0
360,528,2022-09-29,Engine Tune-up,1095.0
361,1095,2021-06-15,Tire Rotation,1365.0
362,719,2022-10-22,Engine Tune-up,74.0
363,1143,2023-02-13,Tire Rotation,1279.0
364,33,2022-07-20,Oil Change,1469.0
365,1022,2023-02-27,Oil Change,511.0
366,774,2022-11-07,Engine Tune-up,323.0
367,1202,2022-03-05,Brake Inspection,580.0
368,550,2022-11-22,Brake Inspection,113.0
369,684,2023-03-15,Oil Change,536.0
370,990,2022-08-14,Tire Rotation,505.0
371,1905,2022-07-03,Engine Tune-up,1107.0
372,1542,2021-09-18,Engine Tune-up,1267.0
373,1697,2021-05-26,Engine Tune-up,1344.0
374,805,2022-09-08,Tire Rotation,1120.0
375,936,2023-09-14,Oil Change,517.0
376,672,2021-10-21,Oil Change,1460.0
377,1130,2021-10-17,Tire Rotation,1490.0
378,202,2022-11-12,Brake Inspection,1051.0
379,366,2023-06-19,Engine Tune-up,598.0
380,835,2022-07-24,Oil Change,666.0
381,1065,2023-01-27,Oil Change,1132.0
382,1769,2023-01-14,Brake Inspection,1282.0
383,447,2021-06-07,Engine Tune-up,566.0
384,1119,2022-04-22,Engine Tune-up,402.0
385,856,2021-11-24,Brake Inspection,91.0
386,590,2022-03-13,Engine Tune-up,771.0
387,1388,2023-12-02,Oil Change,799.0
388,410,2021-08-06,Engine Tune-up,534.0
389,836,2023-05-15,Brake Inspection,1009.0
390,14,2022-08-22,Oil Change,71.0
391,1313,2022-04-10,Engine Tune-up,736.0
392,1473,2021-12-11,Brake Inspection,589.0
393,232,2022-05-20,Tire Rotation,656.0
394,1974,2022-05-23,Tire Rotation,619.0
395,1851,2022-11-15,Brake Inspection,921.0
396,1428,2022-12-28,Brake Inspection,738.0
397,1855,2021-05-29,Brake Inspection,301.0
398,1680,2023-04-01,Engine Tune-up,250.0
399,1136,2021-02-12,Brake Inspection,1056.0
400,1220,2023-08-22,Oil Change,126.0
401,759,2021-12-21,Oil Change,516.0
402,1664,2021-06-04,Oil Change,210.0
403,1164,2023-10-28,Oil Change,194.0
404,552,2022-04-14,Tire Rotation,1373.0
405,1068,2022-07-24,Engine Tune-up,952.0
406,1968,2023-10-31,Oil Change,633.0
407,1266,2022-07-29,Oil Change,1053.0
408,611,2021-12-12,Oil Change,1020.0
409,1651,2023-05-01,Engine Tune-up,1302.0
410,1678,2021-07-27,Oil Change,578.0
411,1521,2022-11-07,Engine Tune-up,622.0
412,1040,2021-10-22,Oil Change,640.0
413,826,2022-01-15,Engine Tune-up,260.0
414,801,2023-08-22,Oil Change,1257.0
415,600,2023-01-07,Engine Tune-up,416.0
416,531,2023-05-23,Engine Tune-up,1350.0
417,95,2021-12-22,Oil Change,1096.0
418,510,2021-07-30,Tire Rotation,133.0
419,775,2023-02-15,Tire Rotation,306.0
420,1763,2022-08-15,Tire Rotation,606.0
421,464,2021-11-06,Brake Inspection,1264.0
422,437,2023-01-18,Tire Rotation,1497.0
423,1885,2021-09-22,Oil Change,1125.0
424,561,2022-10-10,Brake Inspection,754.0
425,1730,2023-10-25,Brake Inspection,209.0
426,1920,2021-10-11,Brake Inspection,907.0
427,1028,2021-07-17,Oil Change,513.0
428,1176,2022-11-01,Engine Tune-up,1029.0
429,86,2023-04-02,Brake Inspection,204.0
430,53,2022-09-06,Tire Rotation,1204.0
431,1789,2022-05-07,Engine Tune-up,353.0
432,666,2021-11-06,Engine Tune-up,388.0
433,406,2022-12-13,Oil Change,516.0
434,478,2023-01-09,Engine Tune-up,1112.0
435,1912,2022-08-15,Tire Rotation,903.0
436,4,2023-04-01,Oil Change,446.0
437,1367,2021-04-02,Engine Tune-up,980.0
438,1824,2021-11-21,Oil Change,1184.0
439,1938,2021-12-23,Engine Tune-up,1104.0
440,1284,2022-12-23,Oil Change,612.0
441,149,2021-06-03,Oil Change,1386.0
442,1139,2021-09-22,Oil Change,608.0
443,95,2021-06-12,Brake Inspection,394.0
444,1817,2023-01-05,Oil Change,315.0
445,1840,2021-12-17,Engine Tune-up,583.0
446,1299,2021-06-14,Brake Inspection,1266.0
447,149,2023-08-18,Brake Inspection,456.0
448,132,2023-06-29,Brake Inspection,1033.0
449,37,2022-11-24,Oil Change,835.0
450,1394,2023-11-14,Brake Inspection,629.0
451,1972,2021-07-03,Oil Change,587.0
452,65,2022-04-25,Brake Inspection,683.0
453,988,2021-04-19,Tire Rotation,494.0
454,516,2022-08-22,Tire Rotation,1441.0
455,142,2023-03-13,Brake Inspection,796.0
456,881,2024-01-28,Oil Change,1353.0
457,1967,2022-02-05,Tire Rotation,686.0
458,1450,2022-11-28,Brake Inspection,166.0
459,291,2023-03-29,Oil Change,1421.0
460,599,2023-10-15,Tire Rotation,1326.0
461,709,2023-09-24,Brake Inspection,1316.0
462,624,2022-04-29,Engine Tune-up,1152.0
463,1264,2023-06-27,Tire Rotation,703.0
464,549,2023-01-16,Oil Change,114.0
465,518,2021-03-09,Engine Tune-up,220.0
466,1770,2023-02-01,Engine Tune-up,1125.0
467,1152,2023-01-09,Engine Tune-up,927.0
468,1491,2021-11-13,Engine Tune-up,1233.0
469,424,2023-11-30,Tire Rotation,1287.0
470,1313,2022-07-17,Brake Inspection,783.0
471,1307,2022-04-29,Brake Inspection,1121.0
472,1429,2022-02-10,Oil Change,681.0
473,1119,2023-10-02,Tire Rotation,103.0
474,1774,2023-12-26,Oil Change,1344.0
475,286,2023-04-03,Tire Rotation,775.0
476,1632,2023-03-01,Brake Inspection,1370.0
477,279,2022-11-17,Engine Tune-up,569.0
478,841,2023-03-14,Engine Tune-up,327.0
479,1921,2022-07-26,Engine Tune-up,489.0
480,1470,2023-10-19,Oil Change,362.0
481,703,2022-08-01,Tire Rotation,1121.0
482,1331,2023-09-20,Oil Change,1041.0
483,1055,2021-03-31,Engine Tune-up,1453.0
484,51,2022-10-16,Brake Inspection,277.0
485,1922,2021-06-05,Brake Inspection,915.0
486,351,2021-11-25,Oil Change,501.0
487,1577,2023-11-07,Tire Rotation,304.0
488,902,2022-01-13,Oil Change,597.0
489,1858,2023-10-18,Oil Change,1479.0
490,486,2023-03-10,Tire Rotation,1322.0
491,24,2023-01-10,Brake Inspection,1327.0
492,828,2023-05-16,Engine Tune-up,452.0
493,715,2021-03-14,Tire Rotation,1329.0
494,848,2021-05-12,Tire Rotation,1235.0
495,903,2022-01-22,Engine Tune-up,840.0
496,496,2023-07-03,Tire Rotation,879.0
497,196,2021-09-27,Tire Rotation,1397.0
498,1255,2022-08-04,Tire Rotation,602.0
499,49,2023-06-24,Brake Inspection,253.0
500,1333,2022-10-16,Brake Inspection,358.0
501,1849,2022-03-20,Brake Inspection,837.0
502,126,2022-10-01,Brake Inspection,1481.0
503,1758,2022-10-24,Tire Rotation,664.0
504,1435,2021-12-25,Brake Inspection,1128.0
505,776,2021-12-29,Engine Tune-up,55.0
506,1529,2021-03-26,Brake Inspection,803.0
507,1812,2023-03-23,Engine Tune-up,368.0
508,1704,2022-06-10,Oil Change,281.0
509,386,2021-10-05,Oil Change,1483.0
510,1492,2023-03-28,Brake Inspection,142.0
511,538,2022-06-24,Oil Change,583.0
512,104,2022-09-01,Engine Tune-up,862.0
513,377,2022-01-27,Oil Change,54.0
514,1038,2022-07-08,Engine Tune-up,822.0
515,101,2021-11-05,Brake Inspection,1424.0
516,235,2021-07-25,Oil Change,912.0
517,1752,2021-07-05,Engine Tune-up,144.0
518,42,2023-06-22,Brake Inspection,131.0
519,1343,2024-01-17,Tire Rotation,529.0
520,1911,2021-12-15,Oil Change,1184.0
521,1740,2021-03-08,Brake Inspection,1039.0
522,805,2021-03-20,Brake Inspection,55.0
523,405,2022-07-13,Engine Tune-up,696.0
524,1563,2023-07-21,Engine Tune-up,256.0
525,737,2024-01-24,Tire Rotation,689.0
526,928,2022-03-18,Tire Rotation,563.0
527,315,2023-01-06,Engine Tune-up,967.0
528,1923,2023-04-02,Oil Change,1132.0
529,1333,2021-08-23,Oil Change,895.0
530,1258,2022-10-11,Tire Rotation,1283.0
531,1504,2022-09-21,Brake Inspection,568.0
532,907,2024-02-02,Oil Change,1406.0
533,1954,2023-11-10,Oil Change,1418.0
534,942,2022-10-23,Tire Rotation,1034.0
535,1076,2023-02-10,Brake Inspection,1319.0
536,1998,2023-01-06,Oil Change,67.0
537,1910,2022-09-05,Oil Change,665.0
538,33,2022-12-31,Engine Tune-up,1181.0
539,1741,2023-04-14,Tire Rotation,774.0
540,1797,2023-09-25,Tire Rotation,373.0
541,909,2021-09-15,Engine Tune-up,1322.0
542,324,2022-09-22,Brake Inspection,553.0
543,1423,2023-02-16,Oil Change,542.0
544,1753,2021-04-28,Brake Inspection,1463.0
545,1922,2022-05-24,Tire Rotation,747.0
546,1151,2023-12-23,Tire Rotation,374.0
547,52,2023-01-17,Tire Rotation,851.0
548,1278,2022-10-29,Oil Change,1331.0
549,1137,2022-09-26,Brake Inspection,742.0
550,826,2021-10-26,Oil Change,154.0
551,177,2023-01-18,Oil Change,331.0
552,1453,2023-08-09,Brake Inspection,1483.0
553,549,2021-07-11,Tire Rotation,1404.0
554,635,2022-05-11,Tire Rotation,1403.0
555,133,2022-02-20,Brake Inspection,1247.0
556,1874,2022-06-24,Brake Inspection,1333.0
557,1388,2024-01-08,Brake Inspection,551.0
558,798,2021-11-23,Brake Inspection,1197.0
559,1275,2023-01-02,Tire Rotation,545.0
560,173,2023-08-21,Tire Rotation,902.0
561,1811,2023-07-07,Tire Rotation,327.0
562,1830,2021-12-21,Brake Inspection,266.0
563,1623,2021-10-08,Oil Change,476.0
564,1335,2023-06-14,Engine Tune-up,401.0
565,1838,2022-04-07,Oil Change,1458.0
566,465,2023-11-17,Engine Tune-up,957.0
567,815,2023-06-04,Brake Inspection,52.0
568,957,2023-05-23,Engine Tune-up,909.0
569,228,2023-02-15,Oil Change,375.0
570,1407,2022-09-28,Brake Inspection,936.0
571,1071,2022-10-13,Tire Rotation,1362.0
572,42,2023-08-01,Tire Rotation,1159.0
573,1452,2021-11-22,Brake Inspection,1048.0
574,400,2021-10-14,Engine Tune-up,1159.0
575,774,2024-01-01,Oil Change,1166.0
576,403,2021-05-29,Tire Rotation,657.0
577,1981,2022-08-20,Oil Change,1037.0
578,428,2023-06-06,Engine Tune-up,734.0
579,925,2023-07-31,Brake Inspection,881.0
580,1873,2022-06-03,Oil Change,1208.0
581,130,2023-04-06,Oil Change,262.0
582,1095,2021-09-26,Brake Inspection,600.0
583,1375,2022-09-11,Brake Inspection,474.0
584,1498,2022-04-10,Brake Inspection,901.0
585,738,2023-06-24,Oil Change,753.0
586,574,2021-06-27,Tire Rotation,665.0
587,561,2022-04-15,Engine Tune-up,1394.0
588,76,2022-07-05,Engine Tune-up,662.0
589,1590,2021-12-30,Tire Rotation,1217.0
590,399,2021-03-25,Engine Tune-up,188.0
591,1713,2023-01-12,Brake Inspection,1260.0
592,1946,2024-02-05,Oil Change,1006.0
