CarID,Make,Model,Year,Mileage,VIN,EngineType,TransmissionType,FuelType
22,nissan,elantra,1998,18110,PZRZ365U5DJTXRE21,8-Cylinder,Automatic,Hybrid
23,rolls-royce,sedona,2014,10129,ZGM5YGKT7RR4A9FJM,2-Cylinder,Automatic,Electric
24,kia,rally wagon 2500,2003,184885,T0Y60NT35WRW47X02,2-Cylinder,CVT,Diesel
25,geo,silverado 3500 hd regular cab,1995,61735,L7NCRY849WM8J9RJ8,6-Cylinder,Automatic,Gasoline
26,gmc,express 2500 cargo,1992,72144,SVPCWN5383YG2DE6Z,8-Cylinder,CVT,Electric
27,subaru,taurus,2005,21593,ZK80UU672T57T02VU,8-Cylinder,Manual,Gasoline
28,ford,prius c,1997,153898,YLG6N58N12NNB1EP5,6-Cylinder,Automatic,Diesel
29,subaru,silverado 3500 hd regular cab,2010,4249,1D81JP2E50BW8XNG9,2-Cylinder,Automatic,Hybrid
30,volvo,db9,2011,97533,MXJJLB67XKAR09ELZ,3-Cylinder,Automatic,Diesel
31,ferrari,frontier crew cab,2001,16303,JPT392S5459TKT0UK,8-Cylinder,Manual,Gasoline
32,ferrari,sonic,2011,11857,FVP4RT1T7LVDPJX6B,10-Cylinder+,Automatic,Hybrid
33,ford,gti,2017,6998,80VSBTUB8FWM0NW6X,10-Cylinder+,Automatic,Hybrid
34,ferrari,srx,1992,31377,1VW1DK8K00UX6YESH,8-Cylinder,Automatic,Gasoline
35,mazda,rav4 hybrid,2004,30420,H31GSSV71GNJC635G,4-Cylinder,CVT,Hybrid
36,toyota,flex,2012,48489,8FA5TJJ92D7TSHJVP,6-Cylinder,CVT,Diesel
37,dodge,lx,2011,190619,A88RSW9K5NXTDXYZL,5-Cylinder,CVT,Gasoline
38,nissan,sierra 1500 limited double cab,1994,111573,VK0Y4D2N6XS156S1P,2-Cylinder,Automatic,Gasoline
39,freightliner,tucson,2017,57889,HJE0JC7U4WMRAMTU0,5-Cylinder,CVT,Diesel
40,chrysler,sprinter 2500 cargo,2005,114312,L9DBVNRU9YRECVD4R,2-Cylinder,Automatic,Gasoline
41,nissan,titan king cab,1996,122455,BP4BEK6Z7JNTW4UWY,4-Cylinder,CVT,Electric
42,aston martin,c-max energi,2003,52259,DMH334AN71J195UES,6-Cylinder,Automatic,Electric
43,honda,rainier,1998,149361,CM76LLWL1G23CP6DN,3-Cylinder,Automatic,Hybrid
44,chevrolet,sequoia,2018,177262,KKRGXNF39K51WYV4T,5-Cylinder,Manual,Electric
45,nissan,avalon,2005,138798,866F70TDXV5US3BFY,3-Cylinder,Automatic,Hybrid
46,bmw,xc90,2000,174484,NLU7JCJV9ZWGHE287,3-Cylinder,CVT,Electric
47,hyundai,yaris hatchback,1998,178593,FDJ1ZU484RH8NEJEF,2-Cylinder,CVT,Hybrid
48,lexus,riviera,1996,81643,LEPXJA919ZLP29S0B,6-Cylinder,Automatic,Diesel
49,toyota,xg350,2009,40216,DYDF9ERN79Y72NYWK,2-Cylinder,Automatic,Diesel
50,mazda,prius prime,1999,194399,YXL6G9SC7LJR4D3LF,4-Cylinder,Manual,Diesel
51,infiniti,tundra double cab,2018,142690,GNAK2N405N2Y42F31,3-Cylinder,CVT,Hybrid
53,mitsubishi,montego,2008,176528,38TRA1Z93Z06MFBF2,10-Cylinder+,Automatic,Diesel
54,toyota,discovery sport,2007,101716,6U7W03GM1R23Y6NJ0,5-Cylinder,Automatic,Hybrid
55,toyota,sorento,2020,155864,ASMHYS1K5JX3G3WS8,5-Cylinder,Manual,Electric
56,ford,grand prix,2014,62761,42H3GJDM0RGD8MFNA,10-Cylinder+,Automatic,Hybrid
57,porsche,grand marquis,2003,186213,140NPJJL6YSUA103V,3-Cylinder,Manual,Gasoline
58,audi,4runner,2019,105451,XGC5UHBA35A8ZRUHK,4-Cylinder,Automatic,Electric
59,volkswagen,cavalier,2018,43430,HGLMCU013Z0RPW3TE,2-Cylinder,Manual,Diesel
60,isuzu,model x,2009,183898,CNY2FFHB3T5VFVZ7C,3-Cylinder,Manual,Gasoline
61,nissan,spectra,1995,127733,USHGUNL68K2Y1GCSR,5-Cylinder,CVT,Electric
62,mercedes-benz,malibu,2018,129651,3WN9HL2S2X936NP15,3-Cylinder,CVT,Gasoline
63,gmc,xterra,1999,13069,X3L2LS9H1T00SKZ4A,3-Cylinder,Automatic,Electric
64,toyota,m3,1994,165960,33RBN66B7GCGLGGW0,10-Cylinder+,Manual,Diesel
65,maserati,k900,2019,105333,3BZ3L5CW1FWAM9X46,10-Cylinder+,CVT,Hybrid
66,bmw,continental,2020,55974,167UNVMR0ZP89L2B9,2-Cylinder,Manual,Diesel
67,audi,gladiator,1995,160448,3T4KR4AN35T4VNGKW,5-Cylinder,Automatic,Gasoline
68,chevrolet,traverse,2015,159477,WGCR5N7812N2BS1LW,10-Cylinder+,CVT,Electric
69,maserati,five hundred,2008,180496,X64SG2762MN7X30J3,2-Cylinder,Manual,Hybrid
70,ram,grand caravan passenger,1998,103991,A0ABAFM2XXS3EFJMA,3-Cylinder,Manual,Diesel
71,lexus,canyon crew cab,2008,118745,ATWP9R1A71RB022LZ,2-Cylinder,Automatic,Gasoline
72,toyota,expedition el,2015,171328,800R2TUM2F9PZDS59,5-Cylinder,CVT,Hybrid
73,dodge,yukon xl 2500,2016,40485,7UUFXRES7FXS5GHP2,6-Cylinder,CVT,Electric
74,ferrari,silverado 2500 hd crew cab,2018,10659,FH3LS7400S2TSU7WW,3-Cylinder,Automatic,Hybrid
75,toyota,accent,1993,82500,XTAJZ8PN60NX4CGBL,4-Cylinder,Manual,Gasoline
76,gmc,eurovan,2018,196381,JU3THRDN3998NA2US,5-Cylinder,Automatic,Gasoline
77,hyundai,ram wagon 3500,2000,97635,U9A0DAE249YNJM8TG,3-Cylinder,Manual,Hybrid
78,chrysler,sl-class,2011,98455,0RKFRNRXXZKTT7001,6-Cylinder,CVT,Gasoline
79,toyota,nautilus,2015,39589,DZ8HAR63818PXL7VP,6-Cylinder,CVT,Hybrid
80,acura,montana sv6,2005,96259,YEA5ZA2A3TDVSG29R,3-Cylinder,Manual,Gasoline
81,alfa romeo,century,2019,10801,R6SMEZW38X7HZYSXG,3-Cylinder,Automatic,Hybrid
82,volkswagen,ilx,2014,152948,AK0W55XS6T6GXE8J0,4-Cylinder,Automatic,Diesel
83,pontiac,malibu,2003,143781,49C13SY74XNM71FEY,10-Cylinder+,Manual,Hybrid
84,hyundai,v70,2016,125321,E1YNZM651KUEPR0EJ,3-Cylinder,CVT,Electric
85,infiniti,mustang,2007,47077,NJR98SNZ9XEPNUHNS,10-Cylinder+,CVT,Hybrid
86,ford,silverado 1500 double cab,2007,105688,7XJ8V0NF8BMYE8RRW,6-Cylinder,Manual,Diesel
87,land rover,caravan passenger,2002,28482,SZKYEL168XLSEU43T,2-Cylinder,Manual,Diesel
88,chevrolet,mark viii,1998,124257,LB8BP2E391R198C6W,3-Cylinder,Automatic,Electric
89,volvo,neon,2015,125589,5BEETRX12UDR3H2NP,10-Cylinder+,Manual,Electric
90,toyota,3000gt,2001,9915,96G77H2019RDLCTZZ,2-Cylinder,CVT,Gasoline
91,ford,xl-7,2014,43661,X8ZVXBWM19TGR6ZME,5-Cylinder,Automatic,Hybrid
92,nissan,corolla,2017,17258,XT2V1SVE1UFGXX0EV,4-Cylinder,Manual,Electric
93,mercedes-benz,gallardo,2011,16031,06CK840M83MAWRCTY,3-Cylinder,Automatic,Electric
94,ford,ux,2016,103234,4MCLBU0Y4DV3FYLC1,2-Cylinder,Automatic,Diesel
95,ford,caprice classic,2008,117583,FVE7UJMY5CAPNVSVL,10-Cylinder+,Manual,Gasoline
96,chevrolet,compass,2001,21931,0E80SWDP832SD6TTD,8-Cylinder,Automatic,Diesel
97,gmc,57,2009,153414,YKR56Y1D9TPK62F2Z,4-Cylinder,Automatic,Electric
98,buick,maxima,2012,93983,G8VHERRZXMEG630LY,2-Cylinder,CVT,Electric
99,scion,model x,2019,137839,ULR28U90428UF3HGR,2-Cylinder,Manual,Hybrid
100,toyota,sentra,2015,130308,PC4MZ1AY82GM9N7T5,4-Cylinder,CVT,Gasoline
101,bmw,expedition el,2012,168033,59Y3EN7D2BESCVNAH,8-Cylinder,Manual,Diesel
102,bmw,accord crosstour,2014,27428,DWL9H16L7KL361J8A,8-Cylinder,Manual,Diesel
103,lincoln,explorer,2004,94802,ZNV6TZT886WLBJFUJ,2-Cylinder,Automatic,Gasoline
104,nissan,accord hybrid,2016,156300,H5LLJ4F97G4RTHEGL,10-Cylinder+,CVT,Electric
105,chevrolet,f250 super duty super cab,1993,106406,V8UPA4EX4R2F6K7B9,5-Cylinder,Automatic,Hybrid
106,ford,sportvan g20,1997,178079,T8FYJHSU2X4ANCF0E,10-Cylinder+,Manual,Diesel
107,ford,king cab,1997,166478,BG2BETAF99AFK2WC4,5-Cylinder,Automatic,Electric
108,nissan,passport,2011,2544,ZRDRY7960161FSVHT,4-Cylinder,CVT,Electric
109,chevrolet,x3,2006,9297,G5AFD34Z95VFV9ZJ1,6-Cylinder,Automatic,Hybrid
110,gmc,explorer,2009,157964,NPKZG92X8CSMXKV9X,10-Cylinder+,Manual,Hybrid
111,mercedes-benz,a6,1992,77170,NRSSZKFC4UDGZAZ9Z,10-Cylinder+,CVT,Electric
112,audi,rapide s,2017,135404,MGUKW4CG9W52C7G1D,3-Cylinder,CVT,Diesel
113,aston martin,rapide s,2011,34208,PH122AKF9SYPN6U82,10-Cylinder+,Automatic,Gasoline
115,mitsubishi,mazda3,2014,39012,Z6TKMC4M39LHYXMH5,5-Cylinder,Automatic,Gasoline
116,gmc,is,1996,100199,ZGSVTAT9388BXJ7UG,4-Cylinder,Automatic,Hybrid
117,nissan,cabrio,2019,150437,Z513198T8RX2L96SE,2-Cylinder,Automatic,Electric
118,toyota,jetta,2017,195812,24S9KTS45V09DA6XJ,4-Cylinder,Manual,Diesel
119,infiniti,corolla,2008,140356,S1451J007Z98M1L0M,6-Cylinder,Automatic,Gasoline
120,bmw,sentra,2003,159234,PDGVMYX686LVRSXU5,3-Cylinder,Automatic,Electric
121,dodge,expedition max,2020,194181,ZL05003R885HKNXSL,8-Cylinder,CVT,Electric
122,ram,f350 super duty super cab,1996,149491,ZNEZ3RPM4Z1F5X8PU,10-Cylinder+,CVT,Diesel
123,dodge,milan,2018,129370,2Z83N3PB3MHYXT1FX,8-Cylinder,CVT,Hybrid
124,lamborghini,odyssey,2002,100705,A3XARJXDX2WBVLLU0,6-Cylinder,Manual,Electric
125,dodge,dawn,2014,168030,FPRJFDGF0PWFM0LF0,10-Cylinder+,Manual,Diesel
126,gmc,ridgeline,2008,191221,8VXDBNF6XYDJRHZCN,10-Cylinder+,Manual,Hybrid
127,porsche,mercedes-amg g-class,2019,126177,23CCAW6G9ZJYTLR48,2-Cylinder,Manual,Diesel
128,bmw,golf sportwagen,1997,157801,HVKTXPE6X66Z2ZM7F,2-Cylinder,Automatic,Gasoline
129,mazda,sierra 2500 hd regular cab,2005,107777,K6S9CHJA1BE99EGYK,3-Cylinder,CVT,Hybrid
130,ram,maxima,2003,120293,D69TBC2N9X9H6HE10,10-Cylinder+,Automatic,Gasoline
131,fiat,sprinter 2500 cargo,1998,39680,T90Y3ZLE1BWLVEHC7,4-Cylinder,Manual,Hybrid
132,chevrolet,titan xd crew cab,2015,165141,NJDJS5BR1879W0UGC,10-Cylinder+,Automatic,Gasoline
133,ford,tucson fuel cell,1994,170129,GVLRZ4NR3R903KVTD,5-Cylinder,Automatic,Electric
134,gmc,odyssey,2003,128534,67S8ZWA34CEF7RT5D,6-Cylinder,Automatic,Diesel
135,mercedes-benz,titan xd single cab,1999,161043,Y6C7Z9CU4SGX2NND3,3-Cylinder,Manual,Diesel
136,audi,grand caravan passenger,2007,33320,D10FWX6H8JSMK68YP,6-Cylinder,CVT,Gasoline
137,gmc,c70,2015,136054,E9TF2YJ07P08ZLL5P,10-Cylinder+,Automatic,Diesel
138,chevrolet,s60,2003,116543,JURS30V58J0CYN00U,4-Cylinder,CVT,Diesel
139,mazda,traverse,1999,93468,8A9VUB3K7X6P77YF3,2-Cylinder,CVT,Gasoline
140,ford,silverado 2500 hd double cab,2018,127445,WGGRAF8A8YF1E000B,2-Cylinder,Automatic,Hybrid
141,dodge,forte,1995,174721,7HWGT350XV4NMGTR2,4-Cylinder,CVT,Diesel
142,chevrolet,d150 regular cab,2011,60202,D60FDVL16GT9MRCK7,5-Cylinder,CVT,Hybrid
143,acura,cabrio,1995,110129,FGK6P0V28RV4JZUWC,3-Cylinder,Automatic,Hybrid
144,ford,h3,2016,38191,7RGCYXGZ0S9YHB1DM,4-Cylinder,CVT,Gasoline
145,honda,loyale,2001,22028,2UKLCMT948FNXVBNU,10-Cylinder+,Manual,Electric
146,hyundai,new beetle,2018,26007,P76V971R1XFS7T4JA,4-Cylinder,Manual,Gasoline
147,toyota,mx-5 miata,2019,117104,M1016MMV4CFPWGAVS,2-Cylinder,Automatic,Gasoline
148,pontiac,a4,2019,130187,7MDK8ZK687J4F8AVA,3-Cylinder,Manual,Hybrid
149,gmc,colorado regular cab,2017,92406,AV2R287K16RDGREWZ,6-Cylinder,Manual,Diesel
150,cadillac,captiva sport,2005,181344,U1TEJNZL3XWGNHABE,5-Cylinder,Manual,Gasoline
151,lincoln,envoy xuv,2005,46637,PXJF27WB0CRM93YTW,10-Cylinder+,Manual,Hybrid
152,nissan,equinox,2004,18485,1CD5Y96S6HD6U2XM1,3-Cylinder,CVT,Hybrid
153,bentley,m3,2020,53684,TVZJ536N1RTREJYS1,8-Cylinder,Manual,Hybrid
154,chevrolet,stinger,2008,96765,Y0SUSKXPXKTAN3UVV,4-Cylinder,Automatic,Diesel
155,hyundai,dakota extended cab,2014,49018,MER2M0BY157B3EB1U,8-Cylinder,Manual,Diesel
156,buick,i-miev,1998,90295,JSVK3AXA578XJKKS3,6-Cylinder,Manual,Hybrid
157,gmc,qx60,2019,54557,W54JEWKD5R5U336P1,4-Cylinder,Manual,Gasoline
158,chevrolet,avalon,1998,76711,1330AX695297558C7,5-Cylinder,Manual,Gasoline
159,buick,caravan cargo,2006,48246,8XVZA79P3UZ96Z3F7,8-Cylinder,Manual,Hybrid
160,land rover,transit 350 van,1995,152266,LSKF60SP8JNZP2110,4-Cylinder,CVT,Diesel
161,lexus,cls-class,2004,38515,9B8YX9HG293BNLC7Z,10-Cylinder+,Manual,Diesel
162,ford,cube,2007,133256,GLC8FNS72HRN3MES3,10-Cylinder+,Manual,Hybrid
163,mini,mustang,2013,76299,AG3H6MT13HEBGP8AY,3-Cylinder,CVT,Gasoline
164,mercury,silverado 3500 regular cab,2018,34664,TJ3G12AM3BSEC3CWV,6-Cylinder,CVT,Hybrid
165,ford,montero sport,2017,184069,NP82TPBX5ER1CYTSA,3-Cylinder,CVT,Electric
166,fiat,lr2,2001,78482,RVDG5A1K9B70GBSGT,4-Cylinder,CVT,Electric
167,chevrolet,passat,2014,154947,YW8GLGGJ9RZ2YZZCU,4-Cylinder,CVT,Electric
168,dodge,silverado 2500 hd crew cab,2005,22165,32T6H22Y5RNXVXB2N,3-Cylinder,Manual,Electric
169,suzuki,s2000,2004,166997,5E7AW9YLXV0YGYME3,4-Cylinder,CVT,Hybrid
170,mazda,mercedes-amg gls,2004,107118,S7K9Z9051MC32YX54,3-Cylinder,CVT,Electric
171,mitsubishi,s4,2006,115683,9G6KN9WP83M778KKP,3-Cylinder,Automatic,Electric
172,ram,es,2008,123440,SSD6THYU9YR0UDUCH,2-Cylinder,Automatic,Electric
173,toyota,jetta sportwagen,2016,72606,LPJVMFAW59MEY07VL,3-Cylinder,Automatic,Hybrid
174,mini,accord,2014,184181,AHN88RLL8KM1CKBAA,5-Cylinder,Automatic,Gasoline
175,lexus,avalanche 2500,2013,110547,G74R6SWY6004808S7,4-Cylinder,Automatic,Gasoline
176,oldsmobile,elantra,2010,118868,DKSBVHMBXSGBA6DNW,10-Cylinder+,CVT,Gasoline
177,cadillac,vision,2014,93157,MUKW49NB3YEE59VU7,4-Cylinder,Automatic,Gasoline
179,toyota,m5,2020,183236,KVB84WRT0LMEMY02X,10-Cylinder+,Automatic,Gasoline
180,nissan,discovery series ii,2020,57339,62984LKC854EBPRPT,3-Cylinder,Manual,Gasoline
181,chevrolet,tc,2007,142923,E1V1T0C599LHJVMTY,4-Cylinder,Manual,Hybrid
182,mclaren,taurus,1998,24262,VMSMSH1DXWKSU9BXC,3-Cylinder,CVT,Diesel
184,gmc,f350 super duty super cab,2019,31675,90DNP77R4Y9MDEVJ7,3-Cylinder,Manual,Gasoline
185,volkswagen,s7,2020,67259,C9BHHLAV9M76S14CM,5-Cylinder,Automatic,Hybrid
186,chevrolet,odyssey,1992,186112,U8M5XYKF6R4NMA6HW,2-Cylinder,CVT,Diesel
187,toyota,sierra (classic) 2500 hd regular cab,2016,195703,0MW5RHWJ42S2W89KM,4-Cylinder,CVT,Diesel
189,infiniti,metris worker cargo,2019,18469,PA66F8CX7C2RMGNGV,6-Cylinder,CVT,Gasoline
190,lexus,veracruz,1994,89100,KVUEX1SM1DNJABHC8,4-Cylinder,CVT,Electric
192,volkswagen,6 series,2002,75941,AA4VGD4Y6524CAYCJ,6-Cylinder,CVT,Gasoline
193,infiniti,2500 extended cab,2015,150465,0P1MKEK14TN5MHN7K,6-Cylinder,Automatic,Hybrid
194,ford,durango,1995,27605,31S1UEUW0J1BW5136,3-Cylinder,Manual,Electric
195,lincoln,es,2002,194360,BE723SSJ4AR2LTCZN,6-Cylinder,Automatic,Gasoline
196,ford,4runner,2000,97466,TYZ4CMWB6CD3C8JLM,8-Cylinder,Manual,Diesel
197,bmw,2500 mega cab,2014,32321,BTH4R8YA6RETR9VP3,8-Cylinder,CVT,Diesel
198,bmw,express 1500 passenger,2002,154943,DZSYE6805AK2L89BT,4-Cylinder,Automatic,Hybrid
199,saab,legacy,1993,175179,93ZDVHT48FHCM7HYP,10-Cylinder+,Manual,Gasoline
200,chevrolet,xterra,1998,194601,G7NJCMEF3CCR8GANS,2-Cylinder,CVT,Gasoline
201,toyota,sorento,1998,128151,U8GCZK674ZUNB08JJ,3-Cylinder,Manual,Hybrid
202,volkswagen,x3,1997,170932,FF5XCNUH0L79WNZ95,10-Cylinder+,Manual,Electric
203,nissan,h1,2007,37437,XLKX0J3T25WB58SEJ,8-Cylinder,Automatic,Electric
204,kia,xe,2011,6696,J24STPEF6A780JNYZ,3-Cylinder,Manual,Diesel
205,porsche,camaro,2003,2650,BMB2M07Z1LF77XYJM,6-Cylinder,Automatic,Diesel
206,isuzu,a8,2017,179908,3SGZMEMG35V937VHM,4-Cylinder,Manual,Gasoline
207,subaru,sedona,2004,10794,MLFNPNRC12SKS28L2,5-Cylinder,Automatic,Gasoline
208,toyota,yukon xl,2009,167870,94JCPF6E3ULJ25WHR,3-Cylinder,Automatic,Electric
209,toyota,golf,2015,197031,1A1A46P48EEYGKPLY,6-Cylinder,CVT,Gasoline
210,ford,galant,2012,27645,F9DE797386UWVS1LD,3-Cylinder,CVT,Hybrid
211,volkswagen,accord,2006,100697,JS4WFSGKX8LGZHVV7,6-Cylinder,Manual,Hybrid
212,chevrolet,b-series regular cab,2001,169870,5UM17M7C8122KW82Y,8-Cylinder,Automatic,Hybrid
213,buick,e350 super duty cargo,2000,185814,ZKGCSVXK3M1J7M60R,5-Cylinder,Manual,Hybrid
214,dodge,f350 super cab,2007,33875,HEBWWGX766B4GPMP4,5-Cylinder,CVT,Hybrid
215,buick,q7,2000,91532,BJX3ZKLH9L5N2VBNJ,8-Cylinder,Manual,Electric
216,hyundai,accent,1997,102114,1VAFNE843RVR3L21W,4-Cylinder,Automatic,Diesel
217,mazda,tucson,2000,53547,W7S4G79491GUJ5MXM,4-Cylinder,Manual,Diesel
218,honda,qx,2019,61349,4FV2RL3C48F2L0FYY,5-Cylinder,Automatic,Electric
219,mercedes-benz,dbs,2004,14939,GB3PJMHE6S1479MA2,2-Cylinder,CVT,Diesel
220,honda,charger,2007,160564,0690BTR28PJN2F1PP,4-Cylinder,Automatic,Hybrid
221,nissan,town car,2008,92555,P5TCPG0D8B9Z8L7AN,4-Cylinder,Manual,Hybrid
222,mercedes-benz,crown victoria,2018,165643,VBSTP7L05GBMV6PPH,10-Cylinder+,CVT,Hybrid
223,plymouth,voyager,2001,152295,0TDCAWUF41P92VT74,5-Cylinder,Manual,Diesel
224,chevrolet,ram 3500 club cab,2009,184579,U1ESYYUS1S4KBAL8Z,6-Cylinder,Manual,Diesel
225,ford,sierra 3500 hd regular cab,2005,69696,RE9G2WLX8NZEK2Y9H,3-Cylinder,Manual,Gasoline
226,bmw,cruze,2018,42692,JUE1ER9G9C9RXPX92,8-Cylinder,CVT,Electric
227,lexus,expedition max,2008,171606,UNK0JYGS3FWCBYW3T,3-Cylinder,CVT,Hybrid
228,land rover,yaris,2018,112130,U7KHA0DKX9ANDA479,4-Cylinder,CVT,Hybrid
229,mini,tundra access cab,1993,57926,JB4HP7TGXMG742MUX,10-Cylinder+,Manual,Diesel
230,audi,f150 supercrew cab,2005,159467,8UT6GN03219RP2PMS,6-Cylinder,CVT,Gasoline
231,ford,convertible,2006,84653,7CDLS03613NDT8TDM,2-Cylinder,Automatic,Diesel
232,chevrolet,express 2500 cargo,2006,66977,HFADRUCD61HTDZ7PM,4-Cylinder,CVT,Diesel
233,lexus,caravan passenger,2018,49841,YD47GU7327LM8J7FK,10-Cylinder+,CVT,Gasoline
234,honda,compass,2011,137498,7SX0LE9F7934WXFUF,3-Cylinder,CVT,Gasoline
235,ford,3 series,2012,65870,MBJ7VVCX9GXCVADSN,5-Cylinder,Manual,Electric
236,dodge,versa,1996,100839,A9Y8FNH11KVDSEJL2,4-Cylinder,Automatic,Electric
237,dodge,montero sport,2005,186772,2244TKVM62R7TH3M3,2-Cylinder,Manual,Gasoline
238,lamborghini,malibu,2007,144696,173DTH774B80FEXGS,3-Cylinder,Automatic,Electric
239,chevrolet,c-class,1999,129840,5E9SW5FE680UYTGC3,6-Cylinder,CVT,Electric
240,chevrolet,fiesta,2002,129389,0Y94KRXW6TME5KZFM,10-Cylinder+,CVT,Hybrid
241,gmc,dakota quad cab,2015,22443,FZUHJRLL9D7KKC7FT,6-Cylinder,Automatic,Hybrid
242,lexus,sportage,2016,40316,DTWFHPS56XV7A8HG1,5-Cylinder,Manual,Diesel
243,toyota,f150 supercrew cab,2000,160630,2A4TUMUR33HX1630F,3-Cylinder,CVT,Hybrid
244,gmc,insight,1993,197873,U9ZJYF5H70CF912VH,4-Cylinder,CVT,Gasoline
245,pontiac,4c,2013,65464,RWA3A1SNX6L2WZEGR,2-Cylinder,Manual,Electric
246,dodge,cx-9,2015,73137,YAD87DSL0HE4LH6B7,5-Cylinder,Automatic,Electric
247,mercedes-benz,colorado regular cab,2001,28124,NGUB3BAU5CK44E2PG,5-Cylinder,CVT,Hybrid
248,ford,range rover sport,1994,52739,HMP95V8790AMTDGNN,4-Cylinder,CVT,Gasoline
249,chevrolet,f350 super duty crew cab,1996,158510,5T8TW57W80RBT3NUH,4-Cylinder,Automatic,Gasoline
250,honda,2500 regular cab,2009,71446,VLC3EVZT293CJDG4Z,4-Cylinder,CVT,Hybrid
251,cadillac,x6,2015,161184,R93CKDVJ713UU1A7P,5-Cylinder,Automatic,Hybrid
252,chevrolet,acadia,2002,65214,SZN06LD37SRHMCZF3,10-Cylinder+,Manual,Diesel
253,lexus,rio,2020,194490,DHABVE362ESSU20JK,8-Cylinder,Automatic,Diesel
254,chevrolet,911,2001,13047,KYR8N6WP0E37NWCKJ,8-Cylinder,Automatic,Gasoline
255,cadillac,e250 super duty cargo,2008,30997,5UCYDYSX1A01W5TLB,2-Cylinder,CVT,Hybrid
256,oldsmobile,z4,2010,176916,WCYT4AGJ9JU1Y5XJW,8-Cylinder,CVT,Hybrid
257,oldsmobile,tucson,2011,193952,X5KDTWNVX0XP5GD9J,8-Cylinder,Automatic,Diesel
258,kia,s60,1996,80614,1WXHB1UN8KU433FU6,2-Cylinder,Manual,Electric
259,infiniti,grand caravan passenger,2004,164760,D8H2BX4512G0VADFE,6-Cylinder,CVT,Gasoline
260,mercury,cx-7,1992,44926,4VYM054464ESG1YG7,6-Cylinder,Automatic,Gasoline
261,ram,sq5,1993,132343,PLCDZKFA9BN57JTUZ,4-Cylinder,CVT,Diesel
262,hyundai,safari cargo,2019,34032,8PS8B4T22HLF2432E,10-Cylinder+,Manual,Gasoline
263,toyota,ct,2013,133817,6JGW47UE3GH898PPH,4-Cylinder,Automatic,Gasoline
264,gmc,altima,2012,130216,TJPH19YM3ED5UN5AB,8-Cylinder,CVT,Diesel
265,buick,f150 supercrew cab,2010,192036,6JZR4NDW7CWZ7VCNL,4-Cylinder,CVT,Gasoline
266,kia,nitro,2003,92658,U7LRUPF91PRRJCD5R,10-Cylinder+,Automatic,Diesel
267,lexus,king cab,2016,161485,C4MR573P40ANWTMKJ,4-Cylinder,Manual,Diesel
268,kia,vandura g1500,2005,128240,V9W9TNL8820NLD8JP,6-Cylinder,Automatic,Gasoline
269,chevrolet,town car,2020,57690,VE2WX5F56DDCNP1KH,10-Cylinder+,CVT,Gasoline
270,eagle,cc,1997,193297,M4NAT6U02WXL1P26W,5-Cylinder,CVT,Gasoline
271,mercedes-benz,galant,2007,184608,F47R7T9X5KR13DABW,3-Cylinder,Manual,Diesel
272,jaguar,sierra 3500 hd regular cab,2015,158415,1Z3ZXYRH3WM7A3VYX,4-Cylinder,Manual,Diesel
